ArticleID,ArticleTitle,Rec1,Rec2,Rec3,Rec4,Rec5
-4110354420726924665,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,Ethereum and Bitcoin Are Market Leaders But Not Competitors,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News
-7292285110016212249,Bitcoin Future: When GBPcoin of Branson Wins Over USDcoin of Trump,America's allies are preparing for a bumpy ride,I've had the chance to troll Donald Trump. But I didn't.,What A Difference 2 Percentage Points Makes,How To Benefit From Getting Paid in Bitcoin,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud
-6151852268067518688,Google Data Center 360° Tour,Google shares data center security and design best practices,This year's Founders' Letter,YouTube's New Messenger Means You'll Never Have to Leave YouTube,Google Cloud Platform: The smart person's guide - TechRepublic,Top 5 GCP NEXT breakout sessions on YouTube (so far)
2448026894306402386,"IBM Wants to ""Evolve the Internet"" With Blockchain Technology",Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain won't kill banks: Bitcoin pioneer,IBM Watson is Working to Bring AI to the Blockchain - CoinDesk,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Blockstream Among 10 New Firms to Join Hyperledger Blockchain Project - CoinDesk
-2826566343807132236,IEEE to Talk Blockchain at Cloud Computing Oxford-Con - CoinDesk,The Blockchain is the new Google,From fine wine to lotteries: Blockchain tech takes off - BBC News,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,Decentralizing IoT networks through blockchain
-2148899391355011268,Banks Need To Collaborate With Bitcoin and Fintech Developers,Is FinTech Forcing Banking to a Tipping Point?,The Future of Digital Banking is Now,Digital Tool as Strategic Enabler for Banking Transformation,Blockchain CEO's Business Advice on Bitcoin Startups,Venture Capitalists Inject Nearly Half a Billion in Bitcoin
4119190424078847945,Blockchain Technology Could Put Bank Auditors Out of Work,The Blockchain is the new Google,Confused by blockchains? Revolution vs Evolution,Banks find blockchain hard to put into practice - FT.com,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain Will Be Used By 15% of Big Banks By 2017
-7926018713416777892,Why Decentralized Conglomerates Will Scale Better than Bitcoin - Interview with OpenLedger CEO - Bitcoin News,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Governments vs Bitcoin: A Fight For Control,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,French Senate Will Debate on Bitcoin Regulation
3353902017498793780,The Rise And Growth of Ethereum Gets Mainstream Coverage,"Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's","For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",Ethereum and Bitcoin Are Market Leaders But Not Competitors,Solidity Available in Visual Studio - Ethereum Blog,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk
1805789466376069146,Setting Up HTTP(S) Load Balancing,Introducing the new Google Cloud Load Balancing UI,Setting Up SSL proxy for Google Cloud Load Balancing,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,Implementing HTTP/2 in Production Environments,How HTTP/2 is Changing Web Performance Best Practices
-2081760549863309770,Setting Up SSL proxy for Google Cloud Load Balancing,Setting Up HTTP(S) Load Balancing,Introducing the new Google Cloud Load Balancing UI,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),Google Cloud Platform for AWS Professionals,BrowserLab: Automated regression detection for the web
