ArticleID,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9222795471790223670,Uber lança serviço de helicóptero em SP com preços a partir de R$66 - IDG Now!,Learning at the speed of business,Globant Acquires L4 to Strengthen its Lead Position in the Digital Services Space,"Salesforce buys Demandware for $2.8B, taking a big step into e-commerce",8 things to expect from Google's biggest event of the year,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
-9216926795620865886,Request lesson : How and when to use はず(=hazu) | Maggie Sensei,Japanese for dummies,Como são escrita as risadas em japonês? - Suki Desu,Portugal runs for four days straight on renewable energy alone,Mycroft: The open source answer to natural language platforms,"The Algorithm March, Japan's Strangely Entertaining Exercise"
-9194572880052200111,"STEMTera, uma protoboard com Arduino Uno embutido",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,Aprendizado de máquina do Google pode detectar retinopatia diabética | Google Discovery,Curso mbed na KL25Z - Primeiros passos - Embarcados,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,Put a ring on it: three smart rings with plenty of beauty and brains
-9192549002213406534,Chrome OS now has Material Design for the desktop,Intel Reveals Its Plan For Blockchain Technology With 'Sawtooth Lake' Distributed Ledger,The new 64-bit Orange Pi is a quad-core computer for $20,Google now uses machine learning to make reading comics on phones easier,Elastic Stack 5.0.0 Released,Hintjens.com
-9190737901804729417,The Real Product Market Fit,In defense of the Uber-ization of everything,The gig economy as a driver of innovation,Introducing JQL: A Query Language for Analytics,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,Skill swarms - a new way to share expertise and work smarter together - Skillhive
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,This 8-Page Website Generated Six-Figures in its First 8 Months - gaps,Bolinho de parmesão,5 Ways to Save Time During Research | Viget,"Agility in the Cloud: Which ""As a Service"" Works for You?",Perfect Menu for Mobile Apps - UX Planet
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,What DeepMind brings to Alphabet,Cognitive Services-Intelligence Applications | Microsoft Azure,Deck describing how MSFT plans to use Linkedin,Microsoft's new online certification program kicks off with data science specialization | ZDNet,Unilever Buys Dollar Shave Club for $1 Billion
-9161596996229760398,Críticas de design: dizendo as coisas que precisam ser ditas,What exactly is a design culture? ,O tênue equilíbrio da equipe que desenha produtos digitais,#FinTech is all about human-centred design - Chris Skinner's blog,Chatbots: Are they better without the chat?,How Mature is Your Organization when it Comes to UX?
-9160910454530522563,"Apple's new file manager, APFS, is awesome",Spotify's Event Delivery - The Road to the Cloud (Part III),A New Number Format for Computers Could Nuke Approximation Errors for Good,Shutter Island (2010),CSS Containment in Chrome 52 | Web Updates - Google Developers,The End Of Apple Man
-9137036168156595470,"New blog from Dries: A ""MAP"" for accelerating Drupal 8 adoption",The investment case for employing a Drupal core contributor - Dries Buytaert,"Thunder, a Drupal distribution for publishers",Google: Here's how a software update knocked out our App Engine cloud | ZDNet,Dries Buytaert,"Waterwheel, the Drupal SDK Ecosystem"
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,Automation and anxiety,Nintendo has doubled in value since Pokémon Go's release,How enterprise architects can help ensure success with digital transformations,The Internet of Things is looking for its VisiCalc,Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...
-9128652074338368262,Clarifying the uses of artificial intelligence in the enterprise,The return of the machinery question,Finding The Meaning Of Artificial Intelligence At Google I/O,Artificial Intelligence's White Guy Problem,CrowdFlower raises $10 million from Microsoft and others to bring AI to data science,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion"
-9102431381393428051,How Leaders Can Let Go Without Losing Control,4 Reasons Managers Should Spend More Time on Coaching,Changing change management,Lean IT is all about people - o Lean na TI é focado em pessoas,[Retro] Celebration Grids - Management 3.0,O que você deve fazer para se tornar um líder melhor?
-9090514312860140897,OpenBazaar is Open for Business,Cloud Storage Goes Mainstream: Storj Launches Beta Joining Azure BaaS,"Bitcasa killing Drive cloud storage service on May 20, will focus on 'growing platform business'",Making open source data more available,Plug the Fathom Neural Compute Stick into any USB device to make it smarter,Shopping app Spring's redesign could be a game-changer
-9086955082453789880,We are on the verge of a consumer M&A avalanche,The Competitive Landscape for Machine Intelligence,Understanding the Twitter topic Tracker,Innovation is in all the wrong places,Why Steve Jobs Was Proud to Steal Ideas,2016 will be the year of conversational commerce - Chris Messina
-9083294960368598209,Drupal How-To: Responsive or Adaptive Images? | Acquia,Google planeja ferramentas de inteligência artificial para Raspberry Pi | Google Discovery,How To Benefit From Getting Paid in Bitcoin,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,Introducing Mini Courses with MS Chatbots,Create a Slack Bot to Interact with Your Wiki
-9081753261356157170,Uso de API's no mercado de serviços financeiros,The Future of Digital Banking is Now,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,LOGOBR School | Behance Reviews Campinas 2016,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,Google made a huge change to the way Google Maps look
-9076501258717815738,Fábio Prado - Overview sobre índices - DBA Brasil 1.0,NoSQL Performance Benchmarks,Gartner Reprint,SQL vs NoSQL: you do want to have a relational storage by default - Enterprise Craftsmanship,Gartner Reprint,Top Asset Tracking Software: The 52 Best Tools and Software Solutions to Track Your Company's Vital Physical Assets
-9073210245497295284,Number plate recognition with Tensorflow,Conversational Banking; from branches to bots. - Chatbots Magazine,New Sessions Added To Google I/O 2016 Schedule,Deep learning software knows that a rose is a rose is a rosa rubiginosa,"Apple acquires Turi, a machine learning company",Exclusive: Why Microsoft is betting its future on AI
-9071883412530082330,Singapore bank wants you to talk to its chatbot to get your banking done,The Digital Transformation Playbook: Rethink Your Business for the Digital Age (Columbia Business School Publishing) eBook Kindle,"The new, scary face of auto insurance",Digital Leadership Is Not an Optional Part of Being a CEO,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,The new tech talent you need to succeed in digital
-9064100704535292718,Stackdriver Trace for App Engine is GA; app latency has nowhere to hide,Announcing .NET Core 1.0,"Microservices Reference Architecture, Part 4 -12‑Factor App",Beyond Progressive Web Apps Part 1,Chrome DevTools - Console API Reference,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC
-9056114023474725450,Acquia Engage 2016: Day One,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Bringing Pokémon GO to life on Google Cloud,Meet Aquifer: A build system for easier Drupal development,A plan for media management in Drupal 8,Drupal 8.1.0 is now available
-9055044275358686874,Accept questions from your audience when presenting in Google Slides,7 lessons about finding the work you were meant to do,Joel on Software,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Ordering coffee in Italy: the 10 commandments,Staying one step ahead at Pixar: An interview with Ed Catmull
-9050450867630628092,Apple's secret strategy: Underpromise and overdeliver,How Apple Keyboards Lost a Logo and Windows PCs Gained One,A Baseline for Hybrid Mobile Developers,Why and How to Avoid Hamburger Menus - Louie A. - Mobile UX Design,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js,CSS Containment in Chrome 52 | Web Updates - Google Developers
-9039021554659316935,Concurso Literário Leia Mulheres + Sweek | Sweek,Promoting gender equality through emoji �� ��,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"O meme 'Luiza, você está atenta?' explicou da melhor forma o machismo na área da tecnologia","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",Put a ring on it: three smart rings with plenty of beauty and brains
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,The emerging Darwinian approach to analytics and augmented intelligence,Graph-powered Machine Learning at Google,Services | RaRe Technologies,Machine Learning Is No Longer Just for Experts,Generative Models
-9028990334396397584,Xamarin for Everyone,Modelando APIs REST com Swagger,The Ultimate Solution to Versioning REST APIs: Content Negotiation,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Desenvolvimento Efetivo na Plataforma Microsoft: o livro.,Java vs .NET vs Python vs Ruby vs Node.JS: Who Reigns the Job Market? | Takipi Blog
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Startup usa algoritmo e rede social para aprovar empréstimos | EXAME.com,"Idwall, a startup de dados que bancos, fintechs e empresas de pagamento estão de olho.",Aplicativo Celcoin oferece a possibilidade de trocar bitcoins por crédito em reais,I've got standards - which one do you want? [UPDATE 5 APRIL 2016],Why your wallet is becoming the next platform
-9019233957195913605,Berners-Lee quer criar outra Web,Clean Coder Blog,Anti-If: The missing patterns,Alecrim/AlecrimCoreData,Programming by poking: why MIT stopped teaching SICP,New MacBook Pro is not a Laptop for Developers Anymore
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Investimentos em coaching e mentoring aumentam nas empresas,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,Qual é o valor da área de T&D na sua empresa?,"Life Coach vs. Therapist, Learn the Difference | Tony Robbins"
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,TypeScript 2.0 is now available!,O WhatsApp do Google chegou e se chama Allo,The Progress of Web Apps - On the Edge,Google releases keyboard for the iPhone with built-in search features,"Walgreens now lets you digitally clip coupons from its iOS app, redeem in-store through Apple Pay with loyalty card"
-8984665034930053829,An Introduction to Elasticsearch Aggregations,Terms Aggregation in Elastic Search,Why Deep Learning Is Suddenly Changing Your Life,"BigQuery 1.11, now with Standard SQL, IAM, and partitioned tables! | Google Cloud Big Data and Machine Learning Blog",O RH chega ao board,Amazon has a huge opportunity in grocery delivery
-8968101771604200516,Olhando para o futuro: 5 pontos de atenção,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Nubank e Goldman fecham parceria de R$ 200 milhões,Bradesco lança serviço inédito para estimular o hábito de poupar,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",Uso de API's no mercado de serviços financeiros
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,New settings for 2-Step Verification,Get ready for Google I/O 2016,Apache Spark 2.0 Preview: Machine Learning Model Persistence,Are Chatbots Really The Future Of Web Design?,Artificial intelligence is changing SEO faster than you think
